alpha,epsilon,tau_a,tau_b,translation, source_key, target_key, linear_term
0.5710391484696978,0.15930880082905977,0.26509131087954746,0.8017219002454925,-1000000.0, pca_plus_slides, uni_pca_95, brain_area_onehot
0.06302688428547425,0.06674238851919324,0.22858013612974673,0.6857996256539677,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.016642326906534364,0.19844231964668427,0.655733358664945,0.6504878444394528,-1000000.0, pca_embedding, uni_pca_plus_coords, brain_area_onehot
0.09517004846085156,0.009334085977059873,0.9763799669573134,0.3094942063872739,-0.44695690190584975, pca_plus_slides, uni_pca_95, brain_area_similarities
0.4334692968513705,0.09335311188670277,0.8739463660626887,0.7122767847290018,-1000000.0, pca_embedding, uni_pca_plus_coords, brain_area_similarities
0.23656393806445106,0.07708391509148071,0.11436962699819278,0.30780444305993415,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.7200397256985935,0.034673757336900916,0.45195454681591685,0.2640124790092561,-1000000.0, pca_plus_slides, uni_pca_95, brain_area_similarities
0.38144122184170565,0.006263627177819263,0.8580562971354988,0.5047787200327892,-0.4292296540753649, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.8038618177574625,0.11408922443710551,0.5687508340232414,0.9650548219144144,-0.6194086290888282, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.2884970953618375,0.1930510961975204,0.6463308229180164,0.3483992638202891,-1000000.0, pca_embedding, uni_pca_95, brain_area_onehot
0.01,0.2,0.7075332741742882,0.1,-1000000.0, pca_plus_slides_scaled, uni_pca_95, brain_area_similarities
0.3779608241695884,0.006418051493175731,0.8686015962801794,0.489095649546445,-0.4186005806872431, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.8107391741809055,0.11440068081186625,0.5603773193760695,0.9683367263971018,-0.6168020589437283, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.17344870063929732,0.008370179750117798,0.9467409790890499,0.3595928008174316,-0.4487176222867828, pca_plus_slides, uni_pca_95, brain_area_similarities
0.2963390206411775,0.007598728378390044,0.8894650312469408,0.4381102938445576,-0.36615186686817713, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.14118106254480978,0.008494573679332368,0.9652204687090474,0.3501614183669375,-0.4477443793176783, pca_plus_slides, uni_pca_95, brain_area_similarities
0.804721511909463,0.11440127106229081,0.5298276417802109,0.9219736700157974,-0.5354329544370655, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.14983186230018797,0.008495371473007562,0.9600869589021422,0.3728228961121476,-0.4483030991861337, pca_plus_slides, uni_pca_95, brain_area_similarities
0.1032616684258134,0.008532218573385634,0.9605504795853409,0.3641944514569344,-0.4477342717632644, pca_plus_slides, uni_pca_95, brain_area_similarities
0.7191431100090107,0.11444836407640184,0.6117251598475629,0.9651710548337046,-0.5554390115800039, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.22870731367331107,0.008039820612310355,0.8767624998894016,0.33472219253313723,-0.3766510368875073, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.14314584160915575,0.008494815363617379,0.971109676376186,0.3557173080171584,-0.44793879447596147, pca_plus_slides, uni_pca_95, brain_area_similarities
0.1710555958242987,0.008265583055904248,0.9305905944179912,0.38620566205979734,-0.45071720639668983, pca_plus_slides, uni_pca_95, brain_area_similarities
0.8471325055392126,0.11446458785851626,0.7228247858425467,1.0,-0.5862346497450416, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.08022018496298572,0.008432374293909183,0.9491509296983748,0.39503282508561066,-0.2655568276571307, pca_plus_slides, uni_pca_plus_coords, brain_area_onehot
0.2792335394772673,0.008178663998072072,0.9452678775331914,0.32393473732685907,-0.45003487912757817, pca_plus_slides_scaled, uni_pca_95, brain_area_similarities
0.21746450541202758,0.008215564714232295,0.9305710088166989,0.34648710490656265,-0.360702020351215, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.17579163308724022,0.00839148571043379,0.9457239261396385,0.35674712866628056,-0.4435673689551231, pca_plus_slides, uni_pca_95, brain_area_similarities
0.17611388819723398,0.008474034874092923,0.9615463367012007,0.3703813216237476,-0.44869449486455376, pca_plus_slides, uni_pca_95, brain_area_similarities
0.18075074999937712,0.008329373291189792,0.9405519837212436,0.353357850954525,-0.4497890338783284, pca_plus_slides, uni_pca_95, brain_area_similarities
0.8289833298694955,0.11442163475766115,0.5604625180826938,0.9550163844780769,-0.6871938521814843, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.15515485063418966,0.008239946420713296,0.941762913202265,0.36924835642606824,-0.3261712014475219, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.13589405814643915,0.008609206391015032,0.9355329686090877,0.31980587189067966,-0.44831041337855204, pca_plus_slides, uni_pca_95, brain_area_similarities
0.14200503699864958,0.008498992636722451,0.9509386148855001,0.3379730340748637,-0.4475226961660035, pca_plus_slides, uni_pca_95, brain_area_similarities
0.22676389975526756,0.00812920999908245,0.9143645472935878,0.3692648228488905,-0.2991299256634638, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_onehot
0.24163423876113893,0.008517552515237767,0.9791298009546825,0.3124969488358129,-0.36600940626344164, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.0928138055669041,0.008476832257980849,0.9978496250388872,0.3557387829496852,-0.2687371927674854, pca_plus_slides, uni_pca_plus_coords, brain_area_similarities
