alpha,epsilon,tau_a,tau_b,translation, source_key, target_key, linear_term
0.5710391484696978,0.07965450214303645,0.26509131087954746,0.8017219002454925,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.3236860944706806,0.04458382945260628,0.18997742423620262,0.5133240027692806,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.6886788459308153,0.014287538925376158,0.6857996256539677,0.15077042112439026,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.5904326190500536,0.09385533234886603,0.1007008892569129,0.992990403362096,-0.43562961398654565, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.5032881806428858,0.06116570439566762,0.10635967469774567,0.12075618253727419,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.22880506000448603,0.03998669731055385,0.1419990968922539,0.9763799669573134,-0.4263229300642119, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.9342370326583811,0.00906155284684755,0.6565474083997787,0.4442157921404466,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4334692968513705,0.04667682256190476,0.8739463660626887,0.7122767847290018,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.37229151238752123,0.0013274828510254934,0.9479815801163677,0.6069593960609855,-0.5765630826605744, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.6522677076959308,0.0015976092557691995,0.30780444305993415,0.3169229194234106,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.30765072888242834,0.051723064745432014,0.13286579604030865,0.9800586978172445,-0.4228180559925079, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.37453655816341686,1e-06,0.9781884002485013,0.6077209765210335,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.37044133222844533,0.008631249459876951,0.9365882387189054,0.5996058291276722,-1.105395848969884, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.6224957343984227,0.0037488598134217295,0.1125728828461145,0.8665367298385985,-0.6705749571320617, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.14164079645455724,0.003998243099189064,0.9412510560432158,0.8032392440723757,-2.7421407301841185, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.01,1e-06,0.11335141913193059,1.0,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.36952484837554544,0.03163509713056298,0.9470016897467926,0.608796024702888,-0.45423559074635955, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.313864959189132,0.06476710012456428,0.13416675878840953,0.9820533009078927,-0.42142912828654794, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.3691720617257026,1e-06,0.9466861732168679,0.6108810283440316,-1000000.0, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.2991830836612176,0.0548380161836386,0.13621083677075901,0.9792091813858341,-0.4222356016668119, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.42872157674529027,0.05941639351333543,0.13194997940159392,0.9819057207639887,-0.42553489488966106, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.44732538501185465,0.061132460220520504,0.13213786968041444,0.9888753760402573,-0.4256425864900204, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.45664355645586924,0.07335823603927068,0.1326757079807268,0.9971412016750182,-0.42550207860374645, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4630541001812181,0.05359813991941489,0.1331690379783112,1.0,-0.4248403303289001, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.46778828532466565,0.06507042445111622,0.13354232138292876,1.0,-0.4251658317439677, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4708857938659453,0.06846955729524978,0.13381992431166112,1.0,-0.4255925714888063, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4724759925392676,0.06819036631574756,0.13402951377135752,1.0,-0.42564237795250737, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.472753501731429,0.08506879338090319,0.13419675595887973,1.0,-0.4264306407003045, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.47196953253840007,0.0687217486170481,0.13433859379228472,1.0,-0.4256032389413141, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.47039009060935255,0.06871087393329078,0.13446481132555052,1.0,-0.4256303816121638, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.6572789911348526,0.0632877470400887,0.11778380450828328,1.0,-0.4338298769534122, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4713762844665173,0.06951080671867732,0.13484974530284174,1.0,-0.4255963013313789, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4664069397838394,0.01381049599557602,0.1350741305078163,1.0,-0.9746593646342684, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.46157619350231227,0.09536471765538625,0.13526274372077132,1.0,-0.4267459014619048, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4567080792205795,0.07011427703620488,0.13542385081661928,1.0,-0.4251762092812082, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
0.4525226301449185,0.02267803644181605,0.1355953792917496,1.0,-0.4548027923497706, pca_plus_slides_scaled, uni_pca_plus_coords, brain_area_similarities
